Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?,Parent item,Assigned to Attachments,Child,Essential (Middle Tier),String Length
Conversions,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Conversions,,No,,,"03 Podcasting (https://www.notion.so/03-Podcasting-17ed642a7f71801c80b2cd761b2fa30c?pvs=21), 02 Lead Magnets (https://www.notion.so/02-Lead-Magnets-17ed642a7f71805aa9e0cce12808b4c9?pvs=21), 01 Taking People off Platform (intro to Conversions) (https://www.notion.so/01-Taking-People-off-Platform-intro-to-Conversions-17ed642a7f71807b9460f9bfef993d1d?pvs=21), 08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions) (https://www.notion.so/08-How-it-builds-your-business-Delete-this-or-rename-to-like-invisible-mysterious-indirect-conv-17ed642a7f7180a4b8d4f7d772195cc7?pvs=21), 05 Speaking Engagements (https://www.notion.so/05-Speaking-Engagements-17ed642a7f7180b38953f0d7e2b5f3ce?pvs=21), 07 Newsletter (https://www.notion.so/07-Newsletter-17ed642a7f7180db9212ce8e897b1176?pvs=21), 04 YouTube (https://www.notion.so/04-YouTube-17ed642a7f7180fc8297e921db408088?pvs=21), 06 Outreach and Finding work/clients (https://www.notion.so/06-Outreach-and-Finding-work-clients-181d642a7f7180d8abe0ec25278a7679?pvs=21)",,0
06 Outreach and Finding work/clients,Yes,PDF,"Aydan, Alex O'Connor",Finding Examples,"Aydan, Alex O'Connor",C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21),,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,1,Normal,No,Conversions,"Alex O'Connor, Aydan",No,,,,,0
05 Speaking Engagements,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,2,Normal,No,Conversions,Alex O'Connor,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions),No,,,Not started,"Aydan, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,3,Medium,No,Conversions,,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
03 Podcasting,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Aydan",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
07 Newsletter,No,PDF,Tia Warner,Finding Examples,"Tia Warner, Alex O'Connor","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Tia Warner, Joden",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
04 YouTube,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,"Alex O'Connor, Tia Warner, Joden","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Alex O'Connor",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,CF,2
02 Lead Magnets,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,Alex O'Connor,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
01 Taking People off Platform (intro to Conversions),Yes,affiliate links,Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Alex O'Connor, Joden",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
Delegation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Delegation,,No,,,"02 First Bottlenecks (setup) (https://www.notion.so/02-First-Bottlenecks-setup-17ed642a7f71806b9b7deb045be8f8c9?pvs=21), 05 How to make the content run itself (hiring/motivating)   (https://www.notion.so/05-How-to-make-the-content-run-itself-hiring-motivating-17ed642a7f7180959811c8fbf6e26544?pvs=21), 04 Videography Delegated (https://www.notion.so/04-Videography-Delegated-17ed642a7f7180a79f10f32a871e6f38?pvs=21), 06 Creating a Team Workflow (technical pipeline breakdown) (https://www.notion.so/06-Creating-a-Team-Workflow-technical-pipeline-breakdown-17ed642a7f7180c2bd76f27d1bd0572a?pvs=21), 01 Introduction to Delegationintro (https://www.notion.so/01-Introduction-to-Delegationintro-17ed642a7f7180c4a204e21f477b1218?pvs=21), 03 Creation of the Creative Team (https://www.notion.so/03-Creation-of-the-Creative-Team-181d642a7f7180ce86d3f5324d6f52f1?pvs=21)",,0
